#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Вода
lava                                              (minecraft:lava)                                                                 = Лава
iron                                              (tconstruct:molten_iron)                                                         = Расплавленное железо
gold                                              (tconstruct:molten_gold)                                                         = Расплавленное золото
pigiron                                           (tconstruct:molten_pigiron)                                                      = Расплавленная свиносталь
cobalt                                            (tconstruct:molten_cobalt)                                                       = Расплавленный кобальт
ardite                                            (tconstruct:molten_ardite)                                                       = Расплавленный ардит
manyullyn                                         (tconstruct:molten_manyullyn)                                                    = Расплавленный маньюлин
knightslime                                       (tconstruct:molten_knightslime)                                                  = Расплавленная слизесталь
alubrass                                          (tconstruct:molten_alubrass)                                                     = Жидкая алюминиевая латунь
brass                                             (tconstruct:molten_brass)                                                        = Жидкая латунь
copper                                            (tconstruct:molten_copper)                                                       = Жидкая медь
tin                                               (tconstruct:molten_tin)                                                          = Жидкое олово
bronze                                            (tconstruct:molten_bronze)                                                       = Жидкая бронза
zinc                                              (tconstruct:molten_zinc)                                                         = Жидкий цинк
lead                                              (tconstruct:molten_lead)                                                         = Жидкий свинец
nickel                                            (tconstruct:molten_nickel)                                                       = Жидкий никель
silver                                            (tconstruct:molten_silver)                                                       = Жидкое серебро
electrum                                          (tconstruct:molten_electrum)                                                     = Жидкий электрум
steel                                             (tconstruct:molten_steel)                                                        = Расплавленная сталь
aluminum                                          (tconstruct:molten_aluminum)                                                     = Жидкий алюминий
liquidhydrogen                                    ([no block])                                                                     = Жидкий водород
liquidoxygen                                      ([no block])                                                                     = Жидкий кислород
liquidchlorine                                    ([no block])                                                                     = Жидкий хлор
liquidsulfurdioxide                               ([no block])                                                                     = Жидкий диоксид серы
liquidsulfurtrioxide                              ([no block])                                                                     = Жидкий триоксид серы
sulfuricacid                                      ([no block])                                                                     = Серная кислота
